trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
26,16:19:00,16:19:00,1,8,0,0,67.6542
27,15:38:00,15:38:00,10,1,0,0,0.0000
27,15:47:00,15:47:00,2,2,0,0,5.8930
27,15:58:00,15:58:00,39,3,0,0,16.4197
27,16:09:00,16:09:00,55,4,0,0,27.2917
27,16:22:00,16:22:00,9,5,0,0,40.2500
27,16:29:00,16:29:00,71,6,0,0,46.3129
27,16:40:00,16:40:00,28,7,0,0,53.5366
27,17:10:00,17:10:00,1,8,0,0,67.6542
28,16:38:00,16:38:00,10,1,0,0,0.0000
28,16:47:00,16:47:00,2,2,0,0,5.8930
28,16:58:00,16:58:00,39,3,0,0,16.4197
28,17:09:00,17:09:00,55,4,0,0,27.2917
28,17:22:00,17:22:00,9,5,0,0,40.2500
28,17:30:00,17:30:00,71,6,0,0,46.3129
28,17:40:00,17:40:00,28,7,0,0,53.5366
28,18:10:00,18:10:00,1,8,0,0,67.6542
29,17:48:00,17:48:00,10,1,0,0,0.0000
29,17:57:00,17:57:00,2,2,0,0,5.8930
29,18:08:00,18:08:00,39,3,0,0,16.4197
29,18:19:00,18:19:00,55,4,0,0,27.2917
29,18:36:00,18:36:00,9,5,0,0,40.2500
29,18:43:00,18:43:00,71,6,0,0,46.3129
29,18:54:00,18:54:00,28,7,0,0,53.5366
29,19:24:00,19:24:00,1,8,0,0,67.6542
30,19:44:00,19:44:00,10,1,0,0,0.0000
30,19:53:00,19:53:00,2,2,0,0,5.8930
30,20:04:00,20:04:00,39,3,0,0,16.4197
30,20:15:00,20:15:00,55,4,0,0,27.2917
30,20:32:00,20:32:00,9,5,0,0,40.2500
30,20:43:00,20:43:00,71,6,0,0,46.3129
30,20:53:00,20:53:00,28,7,0,0,53.5366
30,21:24:00,21:24:00,1,8,0,0,67.6542
31,21:46:00,21:46:00,10,1,0,0,0.0000
31,21:55:00,21:55:00,2,2,0,0,5.8930
31,22:06:00,22:06:00,39,3,0,0,16.4197
31,22:17:00,22:17:00,55,4,0,0,27.2917
31,22:30:00,22:30:00,9,5,0,0,40.2500
31,22:37:00,22:37:00,71,6,0,0,46.3129
31,22:48:00,22:48:00,28,7,0,0,53.5366
31,23:18:00,23:18:00,1,8,0,0,67.6542
32,21:21:00,21:21:00,28,1,0,0,0.0000
32,21:49:00,21:49:00,1,2,0,0,7.6985
33,23:34:00,23:34:00,71,1,0,0,0.0000
33,24:02:00,24:02:00,28,2,0,0,6.8958
33,24:30:00,24:30:00,1,3,0,0,14.5943
34,25:42:00,25:42:00,71,1,0,0,0.0000
34,26:10:00,26:10:00,28,2,0,0,6.8958
34,26:38:00,26:38:00,1,3,0,0,14.5943
35,09:00:00,09:00:00,28,1,0,0,0.0000
35,09:10:00,09:10:00,71,2,0,0,7.1621
35,09:18:00,09:18:00,9,3,0,0,13.2866
35,09:36:00,09:36:00,55,4,0,0,26.2449
35,09:47:00,09:47:00,39,5,0,0,37.1169
35,09:57:00,09:57:00,2,6,0,0,47.6436
35,10:10:00,10:10:00,10,7,0,0,53.5362
36,22:43:00,22:43:00,1,1,0,0,0.0000
36,23:09:00,23:09:00,28,2,0,0,13.6703
36,23:20:00,23:20:00,71,3,0,0,21.2801
36,23:27:00,23:27:00,9,4,0,0,27.4045
36,23:40:00,23:40:00,55,5,0,0,40.3629
36,23:51:00,23:51:00,39,6,0,0,51.2348
36,24:01:00,24:01:00,2,7,0,0,61.7616
36,24:14:00,24:14:00,10,8,0,0,67.6542
37,24:51:00,24:51:00,1,1,0,0,0.0000
37,25:17:00,25:17:00,28,2,0,0,13.6703
37,25:28:00,25:28:00,71,3,0,0,21.2801
37,25:35:00,25:35:00,9,4,0,0,27.4045
37,25:49:00,25:49:00,55,5,0,0,40.3629
37,25:59:00,25:59:00,39,6,0,0,51.2348
37,26:10:00,26:10:00,2,7,0,0,61.7616
37,26:24:00,26:24:00,10,8,0,0,67.6542
38,23:15:00,23:15:00,71,1,0,0,0.0000
